ML Model Name,Accuracy,AUC,Precision,Recall,F1,MCC
Logistic Regression,0.986013986013986,0.9976939203354298,0.9888888888888889,0.9888888888888889,0.9888888888888889,0.970020964360587
Decision Tree,0.9370629370629371,0.9185534591194969,0.9550561797752809,0.9444444444444444,0.9497206703910615,0.8657120491045684
kNN,0.9790209790209791,0.9844863731656185,0.967741935483871,1.0,0.9836065573770492,0.9554915436983854
Naive Bayes,0.9370629370629371,0.9893081761006289,0.9263157894736842,0.9777777777777777,0.9513513513513514,0.8649565325663754
Random Forest (Ensemble),0.958041958041958,0.9948637316561845,0.9565217391304348,0.9777777777777777,0.967032967032967,0.9097751526641134
